Rule;Support;Confidence;Lift;Count;UsedTerm;Url;Title;Abstract;DataPublicacao
"{10872057000134} => {16889292000103}";0,0101173613921489;1;95,0384615384615;25;16889292000103+vara+criminal;https://www.jusbrasil.com.br/diarios/94951153/dou-secao-3-01-07-2015-pg-131?ref=serp;DOU 01/07/2015 - Pág. 131 - Seção 3 - Diário Oficial da União;CRIMINAIS DA CIRCUNSCRIÇÃO JUDICIÁRIA DE BRASÍLIA 8ª VARA CRIMINAL DE BRASÍLIA EDITAIS DE CITAÇÃO (Com...EVANDRO NEIVA DE AMORIM, Juiz de Direito da 8ª Vara Criminal da Circunscrição Judiciária de Brasília...EVANDRO NEIVA DE AMORIM, Juiz de Direito da 8ª Vara Criminal da Circunscrição Judiciária de Brasília...;
"{10872057000134} => {16889292000103}";0,0101173613921489;1;95,0384615384615;25;16889292000103+tcu;https://www.jusbrasil.com.br/diarios/217750190/dou-secao-3-16-11-2018-pg-85?ref=serp;DOU 16/11/2018 - Pág. 85 - Seção 3 - Diário Oficial da União;na mesma localidade do exercício do cargo concursado neste edital, em obséquio à Decisão Normativa/TCU...nº 212/1998 e no Acórdão /TCU/ nº 569/2006-Plenário, processo nº TC-005.514/2004-9. 12.4 Novas vagas...Ata nº 1011/2018, 16.889.292/0001-03 - APOLL- COMERCIO DE MOVEIS E MATERIAIS PARA CONSTRUÇÃO LTDA, itens...;
"{10872057000134} => {16889292000103}";0,0101173613921489;1;95,0384615384615;25;16889292000103+tcu;https://www.jusbrasil.com.br/diarios/254783070/dou-secao-3-05-08-2019-pg-12?ref=serp;DOU 05/08/2019 - Pág. 12 - Seção 3 - Diário Oficial da União;Registro de Preços n 376/GAP-SP/2019, APOLL- COMERCIO DE MOVEIS E MATERIAIS PARA CONSTRUCAO LTDA, CNPJ 16.889.292/0001-03...estabelecido ensejará o encaminhamento do Processo Administrativo de TCE ao Tribunal de Contas da União (TCU;
"{10872057000134} => {16889292000103}";0,0101173613921489;1;95,0384615384615;25;16889292000103+tcu;https://www.jusbrasil.com.br/diarios/72615228/dou-secao-3-04-07-2014-pg-35?ref=serp;DOU 04/07/2014 - Pág. 35 - Seção 3 - Diário Oficial da União;Justificativa: Notória especialização (Decisão TCU 439/1998 Plenário) Declaração de Inexigibilidade em...e servi
