Rule;Support;Confidence;Lift;Count;UsedTerm;Url;Title;Abstract;DataPublicacao
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+vara+criminal;https://www.jusbrasil.com.br/diarios/49619367/dou-secao-3-08-01-2013-pg-203?ref=serp;DOU 08/01/2013 - Pág. 203 - Seção 3 - Diário Oficial da União;JUNIA DE SOUZA ANTUNES 1ª VARA DO JUIZADO ESPECIAL CRIMINAL DE PLANALTINA EDITAL DE CITAÇÃO (Com prazo...JUNIA DE SOUZA ANTUNES CIRCUNSCRIÇÃO JUDICIÁRIA DE CEILÂNDIA VARAS CRIMINAIS DA CIRCUNSCRIÇÃO JUDICIÁRIA...DE CEILÂNDIA 3ª VARA CRIMINAL DE CEILÂNDIA EDITAL DE CITAÇÃO E INTIMAÇÃO (Com prazo de 15 dias) DE:...;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+venha+ser+condenado;https://tcu.jusbrasil.com.br/jurisprudencia/499598234/tomada-de-contas-especial-tce-1448320157/inteiro-teor-499598271?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE): 1448320157;Decisão: Por fim, quanto a esse quesito, o derradeiro afastamento da tese vem do fato de que tal nota de empenho...julgadas irregulares e que os responsáveis sejam condenados em débito, bem como que lhes seja aplicada...(CNPJ 05.120.923/0001-09, Empresa Contratada-2007NE90032) e Agência Aerotur Ltda.;05/09/2017
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+venha+ser+condenado;https://tcu.jusbrasil.com.br/jurisprudencia/499598234/tomada-de-contas-especial-tce-1448320157/relatorio-499598353?ref=serp;TCU - Relatório. TOMADA DE CONTAS ESPECIAL (TCE): 1448320157;Decisão: Por fim, quanto a esse quesito, o derradeiro afastamento da tese vem do fato de que tal nota de empenho...julgadas irregulares e que os responsáveis sejam condenados em débito, bem como que lhes seja aplicada...(CNPJ 05.120.923/0001-09, Empresa Contratada-2007NE90032) e Agência Aerotur Ltda.;05/09/2017
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+execução+penal;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/inteiro-teor-692161646?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: . - EPP (05.120.923/0001-09). e Controle do MTE , atuando diretamente no remanejamento de recursos para a SRTE/RN -, porém a ação penal...-EPP (05.120.923/0001-09). 4.;19/03/2019
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+execução+penal;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/relatorio-692161672?ref=serp;TCU - Relatório. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: Débito decorrente dos repasses à Aerotur Serviços de Viagens Ltda. (05.120.923/0001-09) , com base na...licitação, emitiu as duas faturas e recebeu os pagamentos ( Aerotur Serviços de Viagens Ltda. , CNPJ 05.120.923/0001-09...e Controle do MTE , atuando diretamente no remanejamento de recursos para a SRTE/RN -, porém a ação penal...;19/03/2019
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+responsabilidade+penal;https://www.jusbrasil.com.br/diarios/43282299/dou-secao-3-16-11-2012-pg-85?ref=serp;DOU 16/11/2012 - Pág. 85 - Seção 3 - Diário Oficial da União;, serem exatas e verdadeiras as informações aqui prestadas, sob pena de responsabilidade administrativa...e penal e, estou ciente que, nos termos do § 1º, Art. 9º , da Lei nº 12.513 , de 26/10/2011, e as horas...CNPJ Contratado: 05120923000109. Contratado : AEROTUR SERVICOS DE VIAGENS LTDA -EPP.;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+responsabilidade+penal;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/inteiro-teor-692161646?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: . - EPP (05.120.923/0001-09). e Controle do MTE , atuando diretamente no remanejamento de recursos para a SRTE/RN -, porém a ação penal...-EPP (05.120.923/0001-09). 4.;19/03/2019
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+responsabilidade+penal;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/relatorio-692161672?ref=serp;TCU - Relatório. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: Débito decorrente dos repasses à Aerotur Serviços de Viagens Ltda. (05.120.923/0001-09) , com base na...licitação, emitiu as duas faturas e recebeu os pagamentos ( Aerotur Serviços de Viagens Ltda. , CNPJ 05.120.923/0001-09...e Controle do MTE , atuando diretamente no remanejamento de recursos para a SRTE/RN -, porém a ação penal...;19/03/2019
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+crimes+contra;https://www.jusbrasil.com.br/diarios/62246772/doeac-caderno-unico-27-11-2013-pg-7?ref=serp;DOEAC 27/11/2013 - Pág. 7 - Caderno único - Diário Oficial do Estado do Acre;Serviços de Viagens LTDA EPP, sediada à Rua Apodi, 583, SALA .com.br inscrita no CNPJ/MF sob o nº. 05.120.923/0001-09...CIOSP, o Núcleo de Apoio Psicossocial do Acre – NAP, bem como fortalecer a repressão no combate aos crimes;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+crimes+contra;https://www.jusbrasil.com.br/diarios/49565955/dou-secao-3-31-12-2012-pg-191?ref=serp;DOU 31/12/2012 - Pág. 191 - Seção 3 - Diário Oficial da União;Decreto n 83.936 , de 6 de setembro de 1979, sendo também eliminado do Concurso Público e responder por crime...CNPJ Contratado: 05120923000109. Contratado : AEROTUR SERVICOS DE VIAGENS LTDA -EPP. RESULTADO DE JULGAMENTO PREGÃO N 133/2012 Foi vencedora e faz parte da atade registro de preço a empresa:05.120.923/0001-09...;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+crimes+contra;https://www.jusbrasil.com.br/diarios/73210283/dou-secao-3-18-07-2014-pg-121?ref=serp;DOU 18/07/2014 - Pág. 121 - Seção 3 - Diário Oficial da União;2012;1.5 - Não dispensar especial atenção a operações que possam constituir-se em sérios indícios dos crimes...termos de instruções emanadas das autoridades competentes, possam constituir-se em sérios indícios dos crimes...Contratante: MINISTÉRIO DA FAZENDA -CNPJ Contratado: 05120923000109.;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+crimes+contra;https://www.jusbrasil.com.br/diarios/32923133/dou-secao-3-06-12-2011-pg-70?ref=serp;DOU 06/12/2011 - Pág. 70 - Seção 3 - Diário Oficial da União;paternidade. 7 - Ação de reconhecimento e dissolução de união estável. 8 - Ação de adoção. 9 - Teoria do crime...supracitado, sendo vencedoras as seguintes empresas: 1) AEROTUR SERVIÇOS DE VIAGENS LTDA EPP, CNPJ 05.120.923/0001-09;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+crimes+contra;https://www.jusbrasil.com.br/diarios/30210099/pg-168-cidade-diario-oficial-do-estado-de-sao-paulo-dosp-de-02-09-2011?ref=serp;DOSP 02/09/2011 - Pág. 168 - Cidade - Diário Oficial do Estado de São Paulo;. - Implantação de observatório de violência o qual ira mapear e acompanhar a incidência de crimes e...EPP, CNPJ 05.120.923/0001-09 Objeto: Prestação de serviços de agenciamento para o fornecimento de passagens;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/519721792/tomada-de-contas-especial-tce-1448320157?ref=serp;TCU - TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU);EMENTAACÓRDÃO 8544/2017-TCU-1ª CÂMARA. INEXISTÊNCIA DOS SUPOSTOS VÍCIOS NO REFERIDO ACÓRDÃO. CONHECIMENTO. REJEIÇÃO. CIÊNCIA.Encontrado em: Responsáveis: Adriano da Nóbrega Gomes (443.599.184-53); Aerotur Serviços de Viagens Ltda Epp (05.120.923/0001-09...Embargantes: Aerotur Servicos de Viagens Ltda Epp (05.120.923/0001-09); Agência Aerotur Ltda. (08.030.124...TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU) WEDER DE OLIVEIRA;07/11/2017
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/753859022/tomada-de-contas-especial-tce-1448320157?ref=serp;TCU - TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU);EMENTATOMADA DE CONTAS ESPECIAL. EXTINTO MINISTÉRIO DO TRABALHO E EMPREGO. IRREGULARIDADES EM CONTRATOS CELEBRADOS PELA DELEGACIA REGIONAL DO TRABALHO NO ESTADO DO RIO GRANDE DO NORTE, ATUAL SUPERINTENDÊNCIA. PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE PASSAGENS AÉREAS, HOSPEDAGENS, ALUGUÉIS DE VEÍCULOS E REALIZAÇÃO DE EVENTOS. IMPUGNAÇÃO DAS DESPESAS. RESPONSABILIZAÇÃO SOLIDÁRIA DAS CONTRATADAS. IRREGULARIDADE DAS CONTAS. DÉBITO. MULTA. REJEIÇÃO DOS EMBARGOS DE DECLARAÇÃO. RECURSO DE RECONSIDERAÇÃO. COMPROVAÇÃO PARCIAL DA PRESTAÇÃO DOS SERVIÇOS. PROVIMENTO PARCIAL PARA REDUÇÃO DO DÉBITO E DA MULTA. CORREÇÃO DE ERRO MATERIAL. EMBARGOS DE DECLARAÇÃO. AUSÊNCIA DE CONTRADIÇÃO, OBSCURIDADE OU OMISSÃO. CONHECIMENTO E REJEIÇÃO.Encontrado em: . - EPP em face do Acórdão 2.460/2019-TCU-1ª Câmara, por meio do qual o Tribunal , no que interessa às...Embargantes: Agência Aerotur Ltda. (08.030.124/0001-21); Aerotur Servicos de Viagens Ltda. - Epp (05.120.923/0001-09...TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU) BRUNO DANTAS;03/09/2019
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157?ref=serp;TCU - TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU);EMENTATOMADA DE CONTAS ESPECIAL. EXTINTO MINISTÉRIO DO TRABALHO E EMPREGO. IRREGULARIDADES EM CONTRATOS CELEBRADOS PELA DELEGACIA REGIONAL DO TRABALHO NO ESTADO DO RIO GRANDE DO NORTE, ATUAL SUPERINTENDÊNCIA. PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE PASSAGENS AÉREAS, HOSPEDAGENS, ALUGUÉIS DE VEÍCULOS E REALIZAÇÃO DE EVENTOS. IMPUGNAÇÃO DAS DESPESAS. RESPONSABILIZAÇÃO SOLIDÁRIA DAS CONTRATADAS. IRREGULARIDADE DAS CONTAS. DÉBITO. MULTA. REJEIÇÃO DOS EMBARGOS DE DECLARAÇÃO. RECURSO DE RECONSIDERAÇÃO. COMPROVAÇÃO PARCIAL DA PRESTAÇÃO DOS SERVIÇOS. PROVIMENTO PARCIAL PARA REDUÇÃO DO DÉBITO E DA MULTA. CORREÇÃO DE ERRO MATERIAL.Encontrado em: reconsideração interposto por Agência Aerotur Ltda. (08.030.124/0001-21) e Aerotur Serviços de Viagens Ltda. (05.120.923/0001-09...Recorrentes: Agência Aerotur Ltda. (08.030.124/0001-21) e Aerotur Serviços de Viagens Ltda. - EPP (05.120.923/0001-09...TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU) BRUNO DANTAS;19/03/2019
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/519721792/tomada-de-contas-especial-tce-1448320157/inteiro-teor-519721812?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE): 1448320157;Decisão: Norte Responsáveis: Adriano da Nóbrega Gomes (443.599.184-53); Aerotur Servicos de Viagens Ltda Epp (05.120.923/0001-09...Responsáveis: Adriano da Nóbrega Gomes (443.599.184-53); Aerotur Serviços de Viagens Ltda Epp (05.120.923/0001-09...Embargantes: Aerotur Servicos de Viagens Ltda Epp (05.120.923/0001-09); Agência Aerotur Ltda. (08.030.124...;07/11/2017
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/499598234/tomada-de-contas-especial-tce-1448320157?ref=serp;TCU - TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU);EMENTATOMADA DE CONTAS ESPECIAL. IRREGULARIDADES NA CONTRATAÇÃO DE PASSAGENS AÉREAS, HOSPEDAGENS, ALUGUÉIS DE VEÍCULOS E REALIZAÇÃO DE EVENTOS. CITAÇÃO. REVELIA. REJEIÇÃO DAS ALEGAÇÕES DE DEFESA. DÉBITO. MULTA. RelatórioEncontrado em: quinze dias, a contar da notificação, para que comprovem, perante este Tribunal (art. 214, III, a, do RI/TCU...Responsáveis: Adriano da Nóbrega Gomes (443.599.184-53); Aerotur Servicos de Viagens Ltda Epp (05.120.923/0001-09...TOMADA DE CONTAS ESPECIAL (TCE) 01448320157 (TCU) WEDER DE OLIVEIRA;05/09/2017
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/753859022/tomada-de-contas-especial-tce-1448320157/inteiro-teor-753859058?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: . - EPP (05.120.923/0001-09). -Epp (05.120.923/0001-09). 4. Código eletrônico para localização na página do TCU na Internet: AC-8809-31/19-1. 13.;03/09/2019
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://www.jusbrasil.com.br/diarios/235605682/dou-secao-1-03-04-2019-pg-103?ref=serp;DOU 03/04/2019 - Pág. 103 - Seção 1 - Diário Oficial da União;ACÓRDÃO Nº 2458/2019 - TCU - 1ª Câmara 1. Processo nº TC 005.539/2016-1. 2. Recorrentes: Agência Aerotur Ltda. (08.030.124/0001-21) e Aerotur Serviços de Viagens Ltda. - EPP (05.120.923/0001-09...reconsideração interposto por Agência Aerotur Ltda. (08.030.124/0001-21) e Aerotur Serviços de Viagens Ltda. (05.120.923/0001-09...;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/499598234/tomada-de-contas-especial-tce-1448320157/inteiro-teor-499598271?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE): 1448320157;Decisão: Regional do Trabalho e Emprego no estado do Rio Grande do Norte; Aerotur Serviços de Viagens Ltda. (05.120.923/0001-09.../Secex-RN 33 54 Raimundo Nonato Rodrigues Edital 3/2017-TCU/Secex-RN 850/2016-TCU/Secex-RN 823/2016-TCU...(CNPJ 05.120.923/0001-09, Empresa Contratada-2007NE90032) e Agência Aerotur Ltda.;05/09/2017
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://www.jusbrasil.com.br/diarios/167959181/dou-secao-1-13-11-2017-pg-131?ref=serp;DOU 13/11/2017 - Pág. 131 - Seção 1 - Diário Oficial da União;ACÓRDÃO Nº 10250/2017 - TCU - 1ª Câmara 1. Processo nº TC 014.483/2015-7. 2. Responsáveis: Adriano da Nóbrega Gomes (443.599.184-53); Aerotur Serviços de Viagens Ltda Epp (05.120.923/0001-09...Embargantes: Aerotur Servicos de Viagens Ltda Epp (05.120.923/0001-09); Agência Aerotur Ltda. (08.030.124...;
"{32705949000183} => {05120923000109}";0,0105448154657293;1;24,7391304347826;12;05120923000109+tcu;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/voto-692161673?ref=serp;TCU - Voto. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: interposto por Agência Aerotur Ltda. e Aerotur Serviços de Viagens Ltda. contra o Acórdão 8.544/2017-TCU...(CNPJ 05.120.923/0001-09) , com base na NE 2007NE900302, para a realização de eventos e seminários que...TCU, Sala das Sessões Ministro Luciano Brandão Alves de Souza, em 19 de março de 2019.;19/03/2019
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+vara+criminal;https://www.jusbrasil.com.br/diarios/59428143/djac-23-09-2013-pg-105?ref=serp;DJAC 23/09/2013 - Pág. 105 - Diário de Justiça do Estado do Acre;17.09.2013 - Considerando o teor do Ofício n.º 157/GABJU, de 11 de setembro do ano em curso, oriundo da 2ª Vara...Judiciário, a função de confiança nível 01, e designálo para exercer suas atividades no Gabinete da 2ª Vara...(CNPJ nº 07.832.586/0001-08).;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+vara+criminal;https://www.jusbrasil.com.br/diarios/189231347/djpi-07-05-2018-pg-16?ref=serp;DJPI 07/05/2018 - Pág. 16 - Diário de Justiça do Estado do Piauí;, CPF Nº 234.557.991-91, como tomador de Suprimento de Fundos e portador do Cartão Corporativo da9ª Vara...Criminal de Teresina/PI por um exercício financeiro, conforme art 5º, § 2º da Portaria 481/2011....CNPJ/CONTRATANTE:21.732.903/0001-37 EMPRESA/CONTRATADA: DF TURISMO E EVENTOS LTDA CNPJ/CONTRATADA: 07.832.586/0001-08...;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+vara+criminal;https://www.jusbrasil.com.br/diarios/74610842/djpi-23-07-2014-pg-3?ref=serp;DJPI 23/07/2014 - Pág. 3 - Diário de Justiça do Estado do Piauí;cento e sessenta e cinco mil e noventa e seis reais) CONTRATADA: DF TURISMO E REPRESENTAÇÕES LTDA (CNPJ 07.832.586/0001-08...CARVALHO - Juíza de Direito da Comarca de Picos SUPRIDO: LORENA DUARTE SANTOS LOPES – Secretária de Vara...Direito da Comarca de Buriti dos Lopes SUPRIDO: FRANCISCA DAS CHAGAS NUNES DE SOUSA – Secretária de Vara...;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+vara+criminal;https://www.jusbrasil.com.br/diarios/241830219/dou-secao-3-16-05-2019-pg-39?ref=serp;DOU 16/05/2019 - Pág. 39 - Seção 3 - Diário Oficial da União;exarada em decisão no âmbito do processo judicial 1001922-97.2019.4.01.3502, em trâmite no juízo da 2ª Vara...Cível e Criminal da SSJ de Anápolis-GO, para a anulação do "ato que considerou inabilitada a licitante...Contratante: MINISTERIO DA FAZENDA -.CNPJ Contratado: 07832586000108.;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+vara+criminal;https://www.jusbrasil.com.br/diarios/75690660/djpi-28-08-2014-pg-6?ref=serp;DJPI 28/08/2014 - Pág. 6 - Diário de Justiça do Estado do Piauí;/ 14PE 004/13 FORNECIMENTO DE ALIMENTAÇÃO – QUENTINHASEXE CUTI VA S (Lote 01, item 1, servidas à 2ª Vara...Senhora de Fátima Nº 2.532/A LTO S-PI, A brigar Juizado Es pecial Cível eCriminal de ALTOS/PI....DF TURISMO E REPRE SENTA ÇÕ ESLTDA07.832.586/0001-08 - R$ 165.096,00VALORESTI MA DO CONTRATO Nº 88/201421...;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+vara+criminal;https://www.jusbrasil.com.br/diarios/206552893/dou-secao-3-31-08-2018-pg-135?ref=serp;DOU 31/08/2018 - Pág. 135 - Seção 3 - Diário Oficial da União;Lima, Juiz Federal Substituto da 1ª Vara Federal com Juizado Especial Adjunto Cível e Criminal de Jales...ME (CNPJ nº 07.832.586/0001-08). Processo SEI nº 0000762-20.2018.4.03.8001.;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+venha+ser+condenado;https://www.jusbrasil.com.br/diarios/192218729/djdf-25-05-2018-pg-1428?ref=serp;DJDF 25/05/2018 - Pág. 1428 - Diário de Justiça do Distrito Federal;conhecimento, que, neste juízo, tramita o processo em referência, movido por DF TURISMO E EVENTOS LTDA - ME (07.832.586/0001-08...PROPAGANDA & PUBLICIDADE EIRELI - ME (22.319.393/0001-33) para cumprimento da obrigação a que fora condenado...Vieram conclusos para sentença. É O RELATÓRIO. DECIDO.;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+execução+penal;https://www.jusbrasil.com.br/diarios/134583308/djpi-19-01-2017-pg-191?ref=serp;DJPI 19/01/2017 - Pág. 191 - Diário de Justiça do Estado do Piauí;SENTENÇA - VARA ÚNICA DE VALENÇA DO PIAUÍ 245000 Processo nº 0000581-46.2013.8.18.0078 Classe: Ação Penal...Francisco Kayk Soares Cardoso em relação ao ilícito previsto no art. 163, parágrafo único, III, do Código Penal...245165 AVISO DE INTIMAÇÃO (Vara Única de VALENÇA DO PIAUÍ) Processo nº 0000409-41.2012.8.18.0078 Classe: Execução...;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+execução+penal;https://www.jusbrasil.com.br/diarios/41864113/dou-secao-3-30-10-2012-pg-201?ref=serp;DOU 30/10/2012 - Pág. 201 - Seção 3 - Diário Oficial da União;Objeto: execução dos serviços de telecomunicações através de Linhas Privativas de Comunicação de Dados...por intermédio do Tribunal Regional Eleitoral de Sergipe, e DF Turismo e Representações Ltda., CNPJ 07.832.586/0001-08...I e IV do Código Penal .;
"{05120923000109,72597966000169} => {07832586000108}";0,0105448154657293;1;19,9649122807018;12;07832586000108+execução+penal;https://www.jusbrasil.com.br/diarios/65415595/dou-secao-3-30-01-2014-pg-224?ref=serp;DOU 30/01/2014 - Pág. 224 - Seção 3 - Diário Oficial da União;FINALIDADE: Citação para conhecimento da Ação Penal N. 2012.13.1.000331-7, oriunda do IP nº 125/2012...responder à acusação, por escrito, no prazo de 10 (dez) dias, por infração ao Art. 129 , caput, do Código Penal...CNPJ nº. 07.832.586/0001-08.;
