Principal;UsedTerm;Url;Title;Abstract;DataPublicacao
05120923000109;05120923000109+tcu+conluio;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/voto-692161673?ref=serp;TCU - Voto. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: A inexistência de conluio ou participação voluntária nas irregularidades administrativas praticadas pelos...(CNPJ 05.120.923/0001-09) , com base na NE 2007NE900302, para a realização de eventos e seminários que...administrativas praticadas pelos servidores do Ministério, ressalto que, apesar da menção a possível conluio...;19/03/2019
05120923000109;05120923000109+tcu+conluio;https://tcu.jusbrasil.com.br/jurisprudencia/499598234/tomada-de-contas-especial-tce-1448320157/inteiro-teor-499598271?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE): 1448320157;Decisão: /Secex-RN 33 54 Raimundo Nonato Rodrigues Edital 3/2017-TCU/Secex-RN 850/2016-TCU/Secex-RN 823/2016-TCU...e a Aerotur Serviços de Viagens Ltda., em decorrência de prejuízos causados por servidor público em conluio...(CNPJ 05.120.923/0001-09, Empresa Contratada-2007NE90032) e Agência Aerotur Ltda.;05/09/2017
05120923000109;05120923000109+tcu+conluio;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/inteiro-teor-692161646?ref=serp;TCU - Inteiro Teor. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: . - EPP (05.120.923/0001-09). Sustentam que não houve alegado conluio com servidores públicos para consecução ilícita (burla à licitação...-EPP (05.120.923/0001-09). 4.;19/03/2019
05120923000109;05120923000109+tcu+conluio;https://tcu.jusbrasil.com.br/jurisprudencia/499598234/tomada-de-contas-especial-tce-1448320157/relatorio-499598353?ref=serp;TCU - Relatório. TOMADA DE CONTAS ESPECIAL (TCE): 1448320157;Decisão: /Secex-RN 33 54 Raimundo Nonato Rodrigues Edital 3/2017-TCU/Secex-RN 850/2016-TCU/Secex-RN 823/2016-TCU...e a Aerotur Serviços de Viagens Ltda., em decorrência de prejuízos causados por servidor público em conluio...(CNPJ 05.120.923/0001-09, Empresa Contratada-2007NE90032) e Agência Aerotur Ltda.;05/09/2017
05120923000109;05120923000109+tcu+conluio;https://tcu.jusbrasil.com.br/jurisprudencia/692161626/tomada-de-contas-especial-tce-1448320157/relatorio-692161672?ref=serp;TCU - Relatório. TOMADA DE CONTAS ESPECIAL (TCE) 1448320157;Decisão: Débito decorrente dos repasses à Aerotur Serviços de Viagens Ltda. (05.120.923/0001-09) , com base na...Sustentam que não houve alegado conluio com servidores públicos para consecução ilícita (burla à licitação...A responsabilidade das recorrentes não decorre de conluio com servidores públicos, mas do benefício indevido...;19/03/2019
05120923000109;05120923000109+tcu+crime;https://www.jusbrasil.com.br/diarios/49565955/dou-secao-3-31-12-2012-pg-191?ref=serp;DOU 31/12/2012 - Pág. 191 - Seção 3 - Diário Oficial da União;Decreto n 83.936 , de 6 de setembro de 1979, sendo também eliminado do Concurso Público e responder por crime...CONSEPE n 250/2009, Acórdãos TCU n 2.731/2008, n 330/2009 e n 3.740/210 Signatários: Ariovaldo José Torelli...CNPJ Contratado: 05120923000109. Contratado : AEROTUR SERVICOS DE VIAGENS LTDA -EPP.;
06064175000149;06064175000149+tcu+fraude;https://tcu.jusbrasil.com.br/jurisprudencia/316469255/654220115/inteiro-teor-316469309?ref=serp;TCU - Inteiro Teor. : 654220115;Decisão: (CNPJ 06064175/0001-49), Casa Mundo de Viagens e Negócios em Turismo Ltda. TCU, Sala das Sessões Ministro Luciano Brandão Alves de Souza, em 17 de agosto de 2011. Código eletrônico para localização na página do TCU na Internet: AC-2141-34/11-P. 13.;17/08/2011
06064175000149;06064175000149+tcu+ilicito;https://tcu.jusbrasil.com.br/jurisprudencia/316469255/654220115/inteiro-teor-316469309?ref=serp;TCU - Inteiro Teor. : 654220115;Decisão: (CNPJ 06064175/0001-49), Casa Mundo de Viagens e Negócios em Turismo Ltda. diversos veículos de comunicação, com base em apurações conduzidas por outros órgãos de controle, os ilícitos...Código eletrônico para localização na página do TCU na Internet: AC-2141-34/11-P. 13.;17/08/2011
06064175000149;06064175000149+tcu+lavagem;https://www.jusbrasil.com.br/diarios/207231763/dou-secao-3-05-09-2018-pg-168?ref=serp;DOU 05/09/2018 - Pág. 168 - Seção 3 - Diário Oficial da União;Adjudicação e homologação para: Item 1 - Aires Turismo LTDA, CNPJ/CPF: 06.064.175/0001-49, pelo melhor...entre as Partes para a proteção do patrimônio público federal, a prevenção e o combate à corrupção, à lavagem..., III , da Lei 8.443 /1992, fica NOTIFICADA Tháfini Thomé, CPF 824.721.650-72, do Acórdão 5973/2018-TCU-Segunda...;
06064175000149;06064175000149+tcu+lavagem;https://www.jusbrasil.com.br/diarios/89081291/dou-secao-3-02-04-2015-pg-106?ref=serp;DOU 02/04/2015 - Pág. 106 - Seção 3 - Diário Oficial da União;Contratante: MINISTÉRIO DA SAÚDE -CNPJ Contratado: 06064175000149. Justificativa: Decisão do TCU - Plenário 439 de 1998 Declaração de Inexigibilidade em 30/03/2015....público o resultadodo julgamento do Pregão Eletrônico nº 03/2015 -objeto: contratação de serviços de lavagem...;
