"rules";"support";"confidence";"lift";"count"
"{13509956000165} => {12003969000103}";0.0101382488479263;0.634615384615385;23.4735576923077;33
"{12003969000103} => {13509956000165}";0.0101382488479263;0.375;23.4735576923077;33
"{28128565000178} => {5788495000189}";0.010752688172043;0.945945945945946;49.6621621621622;35
"{5788495000189} => {28128565000178}";0.010752688172043;0.564516129032258;49.6621621621622;35
"{21263301000188} => {1151850000153}";0.0147465437788018;0.774193548387097;31.5;48
"{1151850000153} => {21263301000188}";0.0147465437788018;0.6;31.5;48
"{21263301000188} => {12003969000103}";0.0138248847926267;0.725806451612903;26.8465909090909;45
"{12003969000103} => {21263301000188}";0.0138248847926267;0.511363636363636;26.8465909090909;45
"{8676370000155} => {44734671000151}";0.0101382488479263;0.767441860465116;49.9604651162791;33
"{44734671000151} => {8676370000155}";0.0101382488479263;0.66;49.9604651162791;33
"{8676370000155} => {23312871000146}";0.0119815668202765;0.906976744186046;40.4412233195285;39
"{23312871000146} => {8676370000155}";0.0119815668202765;0.534246575342466;40.4412233195285;39
"{44734671000151} => {7768887000101}";0.0116743471582181;0.76;49.476;38
"{7768887000101} => {44734671000151}";0.0116743471582181;0.76;49.476;38
"{44734671000151} => {23312871000146}";0.0104454685099846;0.68;30.3205479452055;34
"{23312871000146} => {44734671000151}";0.0104454685099846;0.465753424657534;30.3205479452055;34
"{27204689000122} => {18498728000150}";0.0135176651305684;0.977777777777778;33.8581560283688;44
"{18498728000150} => {27204689000122}";0.0135176651305684;0.468085106382979;33.8581560283688;44
"{71443667000107} => {1151850000153}";0.0147465437788018;0.738461538461539;30.0461538461538;48
"{1151850000153} => {71443667000107}";0.0147465437788018;0.6;30.0461538461538;48
"{71443667000107} => {12003969000103}";0.0116743471582181;0.584615384615385;21.6241258741259;38
"{12003969000103} => {71443667000107}";0.0116743471582181;0.431818181818182;21.6241258741259;38
"{12925007000101} => {1151850000153}";0.0129032258064516;0.792452830188679;32.2429245283019;42
"{1151850000153} => {12925007000101}";0.0129032258064516;0.525;32.2429245283019;42
"{12925007000101} => {12003969000103}";0.0113671274961598;0.69811320754717;25.8222555746141;37
"{12003969000103} => {12925007000101}";0.0113671274961598;0.420454545454545;25.8222555746141;37
"{12441717000158} => {482840000138}";0.0104454685099846;0.739130434782609;23.3579569438582;34
"{482840000138} => {12441717000158}";0.0104454685099846;0.330097087378641;23.3579569438582;34
"{7768887000101} => {23312871000146}";0.0110599078341014;0.72;32.1041095890411;36
"{23312871000146} => {7768887000101}";0.0110599078341014;0.493150684931507;32.1041095890411;36
"{21746218000160} => {482840000138}";0.0113671274961598;0.685185185185185;21.6531823085221;37
"{482840000138} => {21746218000160}";0.0113671274961598;0.359223300970874;21.6531823085221;37
"{27176482000191} => {9058708000178}";0.0101382488479263;0.717391304347826;6.65273132664437;33
"{19351920000182} => {8772301000145}";0.010752688172043;0.7;10.9543269230769;35
"{55741110000104} => {6003551000195}";0.0113671274961598;0.637931034482759;27.3219147005445;37
"{6003551000195} => {55741110000104}";0.0113671274961598;0.486842105263158;27.3219147005445;37
"{1151850000153} => {12003969000103}";0.0144393241167435;0.5875;21.7308238636364;47
"{12003969000103} => {1151850000153}";0.0144393241167435;0.534090909090909;21.7308238636364;47
"{1151850000153} => {17930162000121}";0.0110599078341014;0.45;14.3602941176471;36
