"rules";"support";"confidence";"lift";"count"
"{06094697000193} => {00482840000138}";0.0110352075669995;0.954545454545455;19.7445652173913;21
"{06205427000102} => {08398304000160}";0.0105097214923805;0.588235294117647;11.7832817337461;20
"{06205427000102} => {00482840000138}";0.0110352075669995;0.617647058823529;12.775895140665;21
"{15121468000101} => {08398304000160}";0.0126116657908565;0.727272727272727;14.5684210526316;24
"{15121468000101} => {08573956000194}";0.0120861797162375;0.696969696969697;13.0032679738562;23
"{07611027000160} => {20337346000197}";0.0126116657908565;0.75;33.9821428571429;24
"{20337346000197} => {07611027000160}";0.0126116657908565;0.571428571428571;33.9821428571429;24
"{03961467000196} => {06957510000138}";0.0105097214923805;1;95.15;20
"{06957510000138} => {03961467000196}";0.0105097214923805;1;95.15;20
"{13807416000168} => {11980040000163}";0.0115606936416185;0.647058823529412;17.1021241830065;22
"{11980040000163} => {13807416000168}";0.0115606936416185;0.305555555555556;17.1021241830065;22
"{13807416000168} => {08398304000160}";0.0126116657908565;0.705882352941177;14.1399380804954;24
"{13807416000168} => {00482840000138}";0.0136626379400946;0.764705882352941;15.8177749360614;26
"{13807416000168} => {08573956000194}";0.0131371518654756;0.735294117647059;13.7182814302191;25
"{10463704000154} => {24830144000133}";0.0110352075669995;0.91304347826087;26.7311036789298;21
"{24830144000133} => {10463704000154}";0.0110352075669995;0.323076923076923;26.7311036789298;21
"{10463704000154} => {09071136000167}";0.0105097214923805;0.869565217391304;18.1844242713808;20
"{07056444000198} => {11980040000163}";0.0110352075669995;0.538461538461538;14.2318376068376;21
"{07056444000198} => {08398304000160}";0.0115606936416185;0.564102564102564;11.2998650472335;22
"{07056444000198} => {00482840000138}";0.0141881240147136;0.692307692307692;14.3202341137124;27
"{07056444000198} => {08573956000194}";0.0131371518654756;0.641025641025641;11.9595274007039;25
"{08459500000106} => {08772301000145}";0.0105097214923805;0.909090909090909;18.804347826087;20
"{23915573000140} => {08772301000145}";0.0131371518654756;0.925925925925926;19.152576489533;25
"{13146946000102} => {11980040000163}";0.0152390961639517;0.5;13.2152777777778;29
"{11980040000163} => {13146946000102}";0.0152390961639517;0.402777777777778;13.2152777777778;29
"{13146946000102} => {08398304000160}";0.0194429847609038;0.637931034482759;12.7787658802178;37
"{08398304000160} => {13146946000102}";0.0194429847609038;0.389473684210526;12.7787658802178;37
"{13146946000102} => {00482840000138}";0.0157645822385707;0.517241379310345;10.6990254872564;30
"{00482840000138} => {13146946000102}";0.0157645822385707;0.326086956521739;10.6990254872564;30
"{13146946000102} => {08573956000194}";0.0210194429847609;0.689655172413793;12.8668018931711;40
"{08573956000194} => {13146946000102}";0.0210194429847609;0.392156862745098;12.8668018931711;40
"{14801463000167} => {11980040000163}";0.0126116657908565;0.470588235294118;12.437908496732;24
"{11980040000163} => {14801463000167}";0.0126116657908565;0.333333333333333;12.437908496732;24
"{14801463000167} => {08398304000160}";0.0173410404624277;0.647058823529412;12.9616099071207;33
"{08398304000160} => {14801463000167}";0.0173410404624277;0.347368421052632;12.9616099071207;33
"{14801463000167} => {00482840000138}";0.0157645822385707;0.588235294117647;12.1675191815857;30
"{00482840000138} => {14801463000167}";0.0157645822385707;0.326086956521739;12.1675191815857;30
"{14801463000167} => {08573956000194}";0.0183920126116658;0.686274509803922;12.8037293348712;35
"{08573956000194} => {14801463000167}";0.0183920126116658;0.343137254901961;12.8037293348712;35
