Principal;TimeStamp;Valid;Rule;Support;Confidence;Lift;Count
7832586000108;201302;;{05917540000158,06178319000198} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{00448994000103,05917540000158} => {07832586000108};0,020503262;1;19,87037037;22
35636034000151;201302;;{00448994000103,04613668000165,13353495000184} => {35636034000151};0,010251631;1;29;11
35636034000151;201302;;{04613668000165,05120923000109,13353495000184} => {35636034000151};0,010251631;1;29;11
4613668000165;201302;;{05120923000109,13353495000184,35636034000151} => {04613668000165};0,010251631;1;32,51515152;11
5120923000109;201302;;{03667498000139,07832586000108,39822176000164} => {05120923000109};0,010251631;1;23,84444444;11
7832586000108;201302;;{01017250000105,05917540000158,95870069000182} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{05917540000158,06064175000149,95870069000182} => {07832586000108};0,011183597;1;19,87037037;12
7832586000108;201302;;{05120923000109,05917540000158,95870069000182} => {07832586000108};0,011183597;1;19,87037037;12
7832586000108;201302;;{00448994000103,39822176000164,95870069000182} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{00448994000103,06064175000149,95870069000182} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{05120923000109,06064175000149,95870069000182} => {07832586000108};0,010251631;1;19,87037037;11
5120923000109;201302;;{01017250000105,02209806000110,07832586000108} => {05120923000109};0,010251631;1;23,84444444;11
7832586000108;201302;;{02209806000110,05120923000109,05917540000158} => {07832586000108};0,010251631;1;19,87037037;11
6064175000149;201302;;{00448994000103,02209806000110,39822176000164} => {06064175000149};0,010251631;1;24,95348837;11
39822176000164;201302;;{00448994000103,02209806000110,06064175000149} => {39822176000164};0,010251631;1;29;11
7832586000108;201302;;{02462167000108,06064175000149,35636034000151} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{00448994000103,02462167000108,06064175000149} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{00448994000103,06064175000149,32705949000183} => {07832586000108};0,012115564;1;19,87037037;13
5120923000109;201302;;{05917540000158,35636034000151,37594793000124} => {05120923000109};0,010251631;1;23,84444444;11
7832586000108;201302;;{00448994000103,06064175000149,37594793000124} => {07832586000108};0,010251631;1;19,87037037;11
7832586000108;201302;;{05917540000158,12490140000174,35636034000151} => {07832586000108};0,010251631;1;19,87037037;11
6064175000149;201302;;{00448994000103,05917540000158,12490140000174} => {06064175000149};0,011183597;1;24,95348837;12
7832586000108;201302;;{00448994000103,05917540000158,12490140000174} => {07832586000108};0,011183597;1;19,87037037;12
7832586000108;201302;;{05917540000158,06064175000149,12490140000174} => {07832586000108};0,012115564;1;19,87037037;13
7832586000108;201302;;{05120923000109,05917540000158,12490140000174} => {07832586000108};0,011183597;1;19,87037037;12
448994000103;201302;;{06064175000149,12490140000174,39822176000164} => {00448994000103};0,010251631;1;24,38636364;11
39822176000164;201302;;{00448994000103,01017250000105,05917540000158} => {39822176000164};0,010251631;1;29;11
5120923000109;201302;;{01017250000105,05917540000158,39822176000164} => {05120923000109};0,012115564;1;23,84444444;13
7832586000108;201302;;{01017250000105,05917540000158,39822176000164} => {07832586000108};0,012115564;1;19,87037037;13
5120923000109;201302;;{00448994000103,01017250000105,05917540000158} => {05120923000109};0,010251631;1;23,84444444;11
