"rules";"support";"confidence";"lift";"count"
"{1151850000153} => {8958658000112}";0.0100892510671323;0.590909090909091;19.0346590909091;26
"{8958658000112} => {1151850000153}";0.0100892510671323;0.325;19.0346590909091;26
"{13940738000180} => {13807416000168}";0.010477299185099;0.75;37.8970588235294;27
"{13807416000168} => {13940738000180}";0.010477299185099;0.529411764705882;37.8970588235294;27
"{11980040000163} => {8398304000160}";0.0139697322467986;0.75;23.5701219512195;36
"{8398304000160} => {11980040000163}";0.0139697322467986;0.439024390243902;23.5701219512195;36
"{11980040000163} => {8573956000194}";0.0143577803647652;0.770833333333333;22.0715277777778;37
"{8573956000194} => {11980040000163}";0.0143577803647652;0.411111111111111;22.0715277777778;37
"{14801463000167} => {482840000138}";0.010477299185099;0.574468085106383;15.1061658706036;27
"{7548828000128} => {8573956000194}";0.010477299185099;0.473684210526316;13.5631578947368;27
"{8573956000194} => {7548828000128}";0.010477299185099;0.3;13.5631578947368;27
"{7548828000128} => {482840000138}";0.0162980209545984;0.736842105263158;19.3759398496241;42
"{482840000138} => {7548828000128}";0.0162980209545984;0.428571428571429;19.3759398496241;42
"{17310936000111} => {3655629000168}";0.0100892510671323;0.619047619047619;14.3719433719434;26
"{4418934000107} => {8658622000113}";0.010477299185099;0.574468085106383;20.561170212766;27
"{8658622000113} => {4418934000107}";0.010477299185099;0.375;20.561170212766;27
"{4418934000107} => {9071136000167}";0.0100892510671323;0.553191489361702;16.1997098646035;26
"{13807416000168} => {13146946000102}";0.0100892510671323;0.509803921568627;18.5037282518641;26
"{13146946000102} => {13807416000168}";0.0100892510671323;0.366197183098592;18.5037282518641;26
"{13807416000168} => {8573956000194}";0.0100892510671323;0.509803921568627;14.597385620915;26
"{13807416000168} => {482840000138}";0.0112533954210322;0.568627450980392;14.952581032413;29
"{13146946000102} => {8398304000160}";0.0143577803647652;0.52112676056338;16.3773617313638;37
"{8398304000160} => {13146946000102}";0.0143577803647652;0.451219512195122;16.3773617313638;37
"{13146946000102} => {8573956000194}";0.0151338766006985;0.549295774647887;15.7281690140845;39
"{8573956000194} => {13146946000102}";0.0151338766006985;0.433333333333333;15.7281690140845;39
"{13146946000102} => {482840000138}";0.0128055878928987;0.464788732394366;12.2220465651049;33
"{482840000138} => {13146946000102}";0.0128055878928987;0.336734693877551;12.2220465651049;33
"{21548780000189} => {5530834000122}";0.0128055878928987;0.825;42.5205;33
"{5530834000122} => {21548780000189}";0.0128055878928987;0.66;42.5205;33
"{11163447000106} => {8658622000113}";0.0100892510671323;0.65;23.2645833333333;26
"{8658622000113} => {11163447000106}";0.0100892510671323;0.361111111111111;23.2645833333333;26
"{20784313000195} => {8658622000113}";0.0100892510671323;0.702702702702703;25.1509009009009;26
"{8658622000113} => {20784313000195}";0.0100892510671323;0.361111111111111;25.1509009009009;26
"{12185204000123} => {12957821000108}";0.0108653473030656;0.4375;14.2713607594937;28
"{12957821000108} => {12185204000123}";0.0108653473030656;0.354430379746835;14.2713607594937;28
"{12185204000123} => {24845457000165}";0.0131936360108653;0.53125;10.1409722222222;34
"{8398304000160} => {8573956000194}";0.0314318975552969;0.98780487804878;28.2841463414634;81
"{8573956000194} => {8398304000160}";0.0314318975552969;0.9;28.2841463414634;81
"{8398304000160} => {482840000138}";0.0147458284827319;0.463414634146341;12.1859133897461;38
"{482840000138} => {8398304000160}";0.0147458284827319;0.387755102040816;12.1859133897461;38
"{17451234000158} => {8772301000145}";0.0147458284827319;0.76;18.3039252336449;38
"{8772301000145} => {17451234000158}";0.0147458284827319;0.355140186915888;18.3039252336449;38
"{10752963000103} => {8772301000145}";0.0116414435389988;0.652173913043478;15.7070296627387;30
"{10752963000103} => {3655629000168}";0.010477299185099;0.58695652173913;13.6269095182139;27
"{11099588000107} => {3655629000168}";0.0108653473030656;0.7;16.2513513513513;28
"{8573956000194} => {482840000138}";0.0162980209545984;0.466666666666667;12.2714285714286;42
"{482840000138} => {8573956000194}";0.0162980209545984;0.428571428571429;12.2714285714286;42
"{15567891000130} => {11464383000175}";0.0120294916569655;0.673913043478261;13.2570527713243;31
"{5207424000145} => {3655629000168}";0.0108653473030656;0.417910447761194;9.70229931423961;28
"{25329901000152} => {8658622000113}";0.0159099728366317;0.732142857142857;26.2046130952381;41
"{8658622000113} => {25329901000152}";0.0159099728366317;0.569444444444444;26.2046130952381;41
"{25329901000152} => {8772301000145}";0.0108653473030656;0.5;12.0420560747664;28
"{4567265000127} => {3655629000168}";0.0124175397749321;0.695652173913043;16.1504112808461;32
"{2309765000133} => {24845457000165}";0.0143577803647652;0.560606060606061;10.7013468013468;37
"{5530834000122} => {12957821000108}";0.0108653473030656;0.56;18.2673417721519;28
"{12957821000108} => {5530834000122}";0.0108653473030656;0.354430379746835;18.2673417721519;28
"{5530834000122} => {24845457000165}";0.0100892510671323;0.52;9.92622222222222;26
"{8459500000106} => {8772301000145}";0.0116414435389988;0.75;18.0630841121495;30
"{8459500000106} => {3655629000168}";0.0116414435389988;0.75;17.4121621621622;30
"{20795155000179} => {24845457000165}";0.0147458284827319;0.703703703703704;13.4329218106996;38
"{10986234000103} => {15724019000158}";0.0100892510671323;0.553191489361702;21.2772308669419;26
"{15724019000158} => {10986234000103}";0.0100892510671323;0.388059701492537;21.2772308669419;26
"{10986234000103} => {8772301000145}";0.0108653473030656;0.595744680851064;14.3479817061046;28
"{10986234000103} => {3655629000168}";0.0124175397749321;0.680851063829787;15.8067855089132;32
"{3217016000149} => {24845457000165}";0.0100892510671323;0.393939393939394;7.51986531986532;26
"{8658622000113} => {9071136000167}";0.0128055878928987;0.458333333333333;13.421875;33
"{9071136000167} => {8658622000113}";0.0128055878928987;0.375;13.421875;33
"{8658622000113} => {8772301000145}";0.0131936360108653;0.472222222222222;11.3730529595016;34
"{8772301000145} => {8658622000113}";0.0131936360108653;0.317757009345794;11.3730529595016;34
"{8658622000113} => {24845457000165}";0.0124175397749321;0.444444444444444;8.48395061728395;32
"{8658622000113} => {11464383000175}";0.0120294916569655;0.430555555555556;8.46978371501272;31
"{12957821000108} => {24845457000165}";0.0143577803647652;0.468354430379747;8.94036568213783;37
"{12957821000108} => {11464383000175}";0.010477299185099;0.341772151898734;6.72325828582472;27
"{11094173000132} => {24845457000165}";0.010477299185099;0.529411764705882;10.1058823529412;27
"{12134879000143} => {24845457000165}";0.0112533954210322;0.426470588235294;8.14084967320261;29
"{12134879000143} => {11464383000175}";0.0116414435389988;0.441176470588235;8.6787157611136;30
"{9071136000167} => {8772301000145}";0.0186263096623981;0.545454545454545;13.1367884451997;48
"{8772301000145} => {9071136000167}";0.0186263096623981;0.448598130841121;13.1367884451997;48
"{9071136000167} => {3655629000168}";0.0139697322467986;0.409090909090909;9.497542997543;36
"{3655629000168} => {9071136000167}";0.0139697322467986;0.324324324324324;9.497542997543;36
"{9071136000167} => {24845457000165}";0.0116414435389988;0.340909090909091;6.50757575757576;30
"{9071136000167} => {11464383000175}";0.010477299185099;0.306818181818182;6.03565232477446;27
"{15724019000158} => {8772301000145}";0.0120294916569655;0.462686567164179;11.1433951736644;31
"{15724019000158} => {3655629000168}";0.0155219247186651;0.597014925373134;13.8604275917709;40
"{3655629000168} => {15724019000158}";0.0155219247186651;0.36036036036036;13.8604275917709;40
"{8772301000145} => {3655629000168}";0.019790454016298;0.476635514018692;11.0656731497853;51
"{3655629000168} => {8772301000145}";0.019790454016298;0.459459459459459;11.0656731497853;51
"{8772301000145} => {24845457000165}";0.0139697322467986;0.336448598130841;6.42242990654206;36
"{8772301000145} => {11464383000175}";0.0128055878928987;0.308411214953271;6.06699008347007;33
"{24845457000165} => {11464383000175}";0.0194024058983314;0.37037037037037;7.28583545377438;50
"{11464383000175} => {24845457000165}";0.0194024058983314;0.381679389312977;7.28583545377439;50
"{8398304000160,11980040000163} => {8573956000194}";0.0139697322467986;1;28.6333333333333;36
"{8573956000194,11980040000163} => {8398304000160}";0.0139697322467986;0.972972972972973;30.5774555042848;36
"{8398304000160,8573956000194} => {11980040000163}";0.0139697322467986;0.444444444444444;23.8611111111111;36
"{8398304000160,13146946000102} => {8573956000194}";0.0143577803647652;1;28.6333333333333;37
"{8573956000194,13146946000102} => {8398304000160}";0.0143577803647652;0.948717948717949;29.8151969981238;37
"{8398304000160,8573956000194} => {13146946000102}";0.0143577803647652;0.45679012345679;16.5795513823683;37
"{8398304000160,8573956000194} => {482840000138}";0.0143577803647652;0.45679012345679;12.0117157974301;37
"{482840000138,8398304000160} => {8573956000194}";0.0143577803647652;0.973684210526316;27.8798245614035;37
"{482840000138,8573956000194} => {8398304000160}";0.0143577803647652;0.880952380952381;27.6855400696864;37
"{8772301000145,9071136000167} => {3655629000168}";0.0108653473030656;0.583333333333333;13.5427927927928;28
"{3655629000168,9071136000167} => {8772301000145}";0.0108653473030656;0.777777777777778;18.7320872274143;28
"{3655629000168,8772301000145} => {9071136000167}";0.0108653473030656;0.549019607843137;16.0775401069519;28
