"rules";"support";"confidence";"lift";"count"
"{71443667000107} => {01151850000153}";0.0111459421804249;0.727272727272727;35.3898305084746;32
"{01151850000153} => {71443667000107}";0.0111459421804249;0.542372881355932;35.3898305084746;32
"{15439366000139} => {23312871000146}";0.0104493207941484;0.769230769230769;25.6797853309481;30
"{23312871000146} => {15439366000139}";0.0104493207941484;0.348837209302326;25.6797853309481;30
"{09102813000167} => {44734671000151}";0.0101010101010101;0.783783783783784;50.0054054054054;29
"{44734671000151} => {09102813000167}";0.0101010101010101;0.644444444444444;50.0054054054054;29
"{01151850000153} => {07253912000114}";0.0114942528735632;0.559322033898305;20.5873533246415;33
"{07253912000114} => {01151850000153}";0.0114942528735632;0.423076923076923;20.5873533246415;33
"{01151850000153} => {17930162000121}";0.0107976314872867;0.525423728813559;21.5498789346247;31
"{17930162000121} => {01151850000153}";0.0107976314872867;0.442857142857143;21.5498789346247;31
"{01151850000153} => {13440815000133}";0.0111459421804249;0.542372881355932;21.9317259489138;32
"{13440815000133} => {01151850000153}";0.0111459421804249;0.450704225352113;21.9317259489138;32
"{07548828000128} => {00482840000138}";0.0104493207941484;0.75;21.75;30
"{00482840000138} => {07548828000128}";0.0104493207941484;0.303030303030303;21.75;30
"{04389596000114} => {15121468000101}";0.0104493207941484;0.681818181818182;19.004854368932;30
"{21295723000135} => {08398304000160}";0.0104493207941484;0.612244897959184;22.5353218210361;30
"{08398304000160} => {21295723000135}";0.0104493207941484;0.384615384615385;22.5353218210361;30
"{21295723000135} => {08573956000194}";0.0107976314872867;0.63265306122449;22.4240362811791;31
"{08573956000194} => {21295723000135}";0.0107976314872867;0.382716049382716;22.4240362811791;31
"{21295723000135} => {15121468000101}";0.0114942528735632;0.673469387755102;18.7721418664553;33
"{15121468000101} => {21295723000135}";0.0114942528735632;0.320388349514563;18.7721418664553;33
"{21295723000135} => {00482840000138}";0.0101010101010101;0.591836734693878;17.1632653061224;29
"{55741110000104} => {17930162000121}";0.0107976314872867;0.607843137254902;24.9302521008403;31
"{17930162000121} => {55741110000104}";0.0107976314872867;0.442857142857143;24.9302521008403;31
"{55741110000104} => {13440815000133}";0.0111459421804249;0.627450980392157;25.3719966859983;32
"{13440815000133} => {55741110000104}";0.0111459421804249;0.450704225352113;25.3719966859983;32
"{06205427000102} => {14801463000167}";0.0101010101010101;0.517857142857143;19.3086734693878;29
"{14801463000167} => {06205427000102}";0.0101010101010101;0.376623376623377;19.3086734693878;29
