rule;support;confidence;lift;count
{71443667000107} => {01151850000153};0,01068822;0,5929752;32,166809;287
{01151850000153} => {71443667000107};0,01068822;0,5797980;32,166809;287
{71443667000107} => {12925007000101};0,01012960;0,5619835;32,948428;272
{12925007000101} => {71443667000107};0,01012960;0,5938865;32,948428;272
{71443667000107} => {55741110000104};0,01180545;0,6549587;23,575001;317
{71443667000107} => {07253912000114};0,01132132;0,6280992;22,104481;304
{01151850000153} => {12925007000101};0,01020408;0,5535354;32,453125;274
{12925007000101} => {01151850000153};0,01020408;0,5982533;32,453125;274
{01151850000153} => {55741110000104};0,01132132;0,6141414;22,105798;304
{01151850000153} => {07253912000114};0,01094891;0,5939394;20,902307;294
{12925007000101} => {55741110000104};0,01079994;0,6331878;22,791365;290
{12925007000101} => {07253912000114};0,01124683;0,6593886;23,205641;302
{04418934000107} => {08658622000113};0,01027856;0,7022901;16,284882;276
{13338681000144} => {08658622000113};0,01258752;0,7176221;16,640404;338
{08772301000145} => {00761025000108};0,01161925;0,6782609;7,230115;312
{58867425000182} => {00761025000108};0,01139580;0,8476454;9,035719;306
{11420095000119} => {00761025000108};0,01109787;0,7967914;8,493626;298
{13734839000103} => {19225144000174};0,01001788;0,6529126;14,757584;269
{13440815000133} => {55741110000104};0,01035305;0,5138632;18,496320;278
{17930162000121} => {55741110000104};0,01020408;0,5018315;18,063243;274
{12384280000168} => {79053468000102};0,01102339;0,9801325;73,106990;296
{79053468000102} => {12384280000168};0,01102339;0,8222222;73,106990;296
{11686277000136} => {00761025000108};0,01199166;0,8090452;8,624249;322
{17356181000196} => {10596399000179};0,01120959;0,6840909;7,979674;301
{05075962000123} => {07245458000150};0,01128408;0,7163121;24,691157;303
{18641075000117} => {08658622000113};0,01340682;0,7142857;16,563040;360
{18641075000117} => {00761025000108};0,01169373;0,6230159;6,641216;314
{13440815000133} => {17930162000121};0,01984955;0,9852126;48,452249;533
{17930162000121} => {13440815000133};0,01984955;0,9761905;48,452249;533
{17451234000158} => {00761025000108};0,01482199;0,7537879;8,035217;398
{03961467000196} => {06957510000138};0,01411440;1,0000000;70,663158;379
{06957510000138} => {03961467000196};0,01411440;0,9973684;70,663158;379
