rule;support;confidence;lift;count
{31144653000178} => {30223033000161};0.01372157;0.6867647;9.390659;467
{26865339000144} => {30223033000161};0.01119469;0.5212038;7.126818;381
{29136844000146} => {14272952000179};0.01084210;0.9946092;81.764561;369
{14272952000179} => {29136844000146};0.01084210;0.8913043;81.764561;369
{31296199000170} => {12130958000186};0.01571957;0.5376884;8.957263;535
{27619368000199} => {69194934000108};0.01228184;0.9976134;77.517747;418
{69194934000108} => {27619368000199};0.01228184;0.9543379;77.517747;418
{21746218000160} => {00482840000138};0.01383910;0.5640719;21.449856;471
{00482840000138} => {21746218000160};0.01383910;0.5262570;21.449856;471
{01424128000145} => {11163447000106};0.01859905;0.9363905;42.379143;633
{11163447000106} => {01424128000145};0.01859905;0.8417553;42.379143;633
{09105910000103} => {08772301000145};0.01037198;0.6935167;20.832434;353
{10881930000155} => {12130958000186};0.01198801;0.5291829;8.815570;408
{08658622000113} => {20784313000195};0.01084210;0.5482912;22.564140;369
