rule;support;confidence;lift;count
{08398304000160} => {08573956000194};0.01065606;0.9503546;83.280204;268
{08573956000194} => {08398304000160};0.01065606;0.9337979;83.280204;268
{21263301000188} => {01151850000153};0.01141153;0.7493473;30.895219;287
{01151850000153} => {21263301000188};0.01141153;0.4704918;30.895219;287
{16553940000148} => {08676370000155};0.01013917;0.8415842;48.881851;255
{08676370000155} => {16553940000148};0.01013917;0.5889145;48.881851;255
{12925007000101} => {01151850000153};0.01180915;0.7261614;29.939276;297
{01151850000153} => {12925007000101};0.01180915;0.4868852;29.939276;297
{71443667000107} => {01151850000153};0.01347913;0.7197452;29.674742;339
{01151850000153} => {71443667000107};0.01347913;0.5557377;29.674742;339
{44734671000151} => {08676370000155};0.01049702;0.6550868;38.049502;264
{08676370000155} => {44734671000151};0.01049702;0.6096998;38.049502;264
{44734671000151} => {07768887000101};0.01180915;0.7369727;37.218601;297
{07768887000101} => {44734671000151};0.01180915;0.5963855;37.218601;297
{07548828000128} => {00482840000138};0.01089463;0.7425474;20.912730;274
{08676370000155} => {07768887000101};0.01363817;0.7921478;40.005055;343
{07768887000101} => {08676370000155};0.01363817;0.6887550;40.005055;343
{08676370000155} => {23312871000146};0.01351889;0.7852194;29.921618;340
{23312871000146} => {08676370000155};0.01351889;0.5151515;29.921618;340
{07768887000101} => {23312871000146};0.01324056;0.6686747;25.480559;333
{23312871000146} => {07768887000101};0.01324056;0.5045455;25.480559;333
{27619368000199} => {69194934000108};0.01208748;1.0000000;48.272553;304
{69194934000108} => {27619368000199};0.01208748;0.5834933;48.272553;304
{01151850000153} => {55741110000104};0.01141153;0.4704918;22.453262;287
{55741110000104} => {01151850000153};0.01141153;0.5445920;22.453262;287
{26469541000157} => {08658622000113};0.01077535;0.5717300;15.561697;271
{13734839000103} => {13777884000137};0.01073559;0.7803468;34.310704;270
{13777884000137} => {13734839000103};0.01073559;0.4720280;34.310704;270
{07586061000121} => {22065938000122};0.01105368;0.8348348;9.613597;278
{22356205000147} => {08772301000145};0.01300199;0.8034398;13.745926;327
{22356205000147} => {14517117000151};0.01069583;0.6609337;8.241191;269
{08691984000106} => {16701048000167};0.01224652;0.9935484;79.326165;308
{16701048000167} => {08691984000106};0.01224652;0.9777778;79.326165;308
{17451234000158} => {08772301000145};0.01272366;0.6823028;11.673411;320
